id,country,location,platform,check in,check out,nights,average,accommodation,total price of stay,created_at,person
60,Turkey,istanbul,Airbnb,25.10.2024,29.10.2024,4,13.09,taxim academie house,104.70,,2
61,Turkey,istanbul - ulaanbataar,plane,29.10.2024,30.10.2024,1,0.00,night flight to ulaambatar,0.00,,2
62,Mongolia,ulaanbaatar,booking.com,30.10.2024,02.11.2024,3,6.33,Khongor guest house & tours,38.00,,2
63,Mongolia,ulaanbaatar,booking.com,02.11.2024,06.11.2024,4,9.63,Gana's Guest House and Tours,77.00,,2
64,Mongolia,ulaanbaatar,booking.com,06.11.2024,08.11.2024,2,8.40,City guesthouse & tours,33.59,,2
65,Mongolia,terelj,on the spot,08.11.2024,10.11.2024,2,24.05,terelj ulaanbaatar,96.20,,2
66,Mongolia,ulaanbaatar,booking.com,10.11.2024,13.11.2024,3,8.56,City guesthouse & tours,51.33,,2
67,Mongolia,khakhorin,booking.com,13.11.2024,15.11.2024,2,26.14,khakhorin hostel,104.56,,2
68,Mongolia,ulaanbaatar,booking.com,15.11.2024,17.11.2024,2,7.84,Mongolian Vision Tours,31.37,,2
69,Mongolia,ulaanbaatar,booking.com,17.11.2024,21.11.2024,4,8.68,City guesthouse & tours,69.46,,2
70,South Korea,seoul,Airbnb,21.11.2024,28.11.2024,7,15.27,close to sillim metro station,213.76,,2
71,South Korea,busan,booking.com,28.11.2024,01.12.2024,3,12.10,one way guesthouse busan,72.60,,2
72,South Korea,busan,booking.com,01.12.2024,03.12.2024,2,9.84,stay well hotel,39.35,,2
73,South Korea,jeonju,booking.com,03.12.2024,04.12.2024,1,9.44,danaharu guesthouse,18.88,,2
74,South Korea,gwangju,Airbnb,04.12.2024,15.12.2024,11,15.67,gwangju appartments,172.32,,2
75,South Korea,Jinan-gun,vipassana,04.12.2024,15.12.2024,11,0.00,daniela vipassana,0.00,,2
76,South Korea,seoul,Airbnb,15.12.2024,18.12.2024,3,14.92,j5 hostel,89.50,,2
77,Japan,tokio,booking.com,18.12.2024,22.12.2024,4,32.27,uhome kamiitabashi apartment,258.13,,2
78,Japan,tanigawa,workaway,22.12.2024,21.01.2025,30,0.00,tanigawa valley lodge,0.00,,2
79,Japan,niigata,booking.com,21.01.2025,23.01.2025,2,16.15,niigata keihin hotel,64.58,,2
80,Japan,tanigawa,workaway,23.01.2025,14.02.2025,22,0.00,tanigawa valley lodge,0.00,,2
81,Japan,maebashi,booking.com,14.02.2025,15.02.2025,1,16.94,hotel anzera,33.88,,2
82,Japan,tanigawa,workaway,15.02.2025,12.03.2025,25,0.00,tanigawa valley lodge,0.00,,2
83,Japan,yokohama,booking.com,12.03.2025,15.03.2025,3,9.89,yokohama hostel village,59.31,,2
84,Japan,tokyo,booking.com,15.03.2025,18.03.2025,3,18.49,wabi sabi hostel,110.95,,2
85,Hong Kong,hong kong,booking.com,18.03.2025,22.03.2025,4,14.90,relaince lucky mirador mansion,119.19,,2
86,Hong Kong,hong kong,booking.com,22.03.2025,02.04.2025,11,20.28,premium lounge,446.10,,2
87,China,shenzen,booking.com,02.04.2025,06.04.2025,4,11.09,weizhanwan hotel shenzhen international convention and exhibition center,88.70,,2
88,China,guangzhou-haikou,train,06.04.2025,07.04.2025,1,0.00,night train to haikou,0.00,,2
89,China,sanya,trip.com,07.04.2025,13.04.2025,6,5.13,nashanmen boutique inn (sanya bay pedestrian street),61.51,,2
90,China,haikou,trip.com,13.04.2025,15.04.2025,2,8.43,meilan mantu hotel,33.72,,2
91,China,beihai,trip.com,15.04.2025,19.04.2025,4,6.63,aizhihai,53,,2
92,Vietnam,mong cai,booking.com,19.04.2025,20.04.2025,1,6.03,royal homestay,12.05,,2
93,Vietnam,cat ba town,trip.com,20.04.2025,23.04.2025,3,4.22,sunrise hotel,25.31,,2
94,Vietnam,hanoi,trip.com,23.04.2025,27.04.2025,4,7.55,la sen west lake tay ho homestay,60.36,,2
95,Vietnam,hanoi,trip.com,27.04.2025,01.05.2025,4,5.13,era apartment duong lang,41.04,,2
96,Vietnam,mai chau,booking.com,01.05.2025,06.05.2025,5,6.96,mai chau happy house,69.64,,2
97,Vietnam,son la,random,06.05.2025,08.05.2025,2,4.28,hotel hoang anh,17.1,,2
98,Vietnam,dien bien phu,trip.com,08.05.2025,09.05.2025,1,3.09,frontier hostel,6.18,,2
99,Laos,luang prabang,trip.com,09.05.2025,16.05.2025,7,5.42,singharar guesthouse,75.88,,2
100,Laos,vang vieng,trip.com,16.05.2025,22.05.2025,6,5.11,Khampaseuth Hotel,61.3,,2
101,Laos,vientiane,trip.com,22.05.2025,27.05.2025,5,7.76,mali namphu hotel,77.61,,2
102,Laos,lak sao,random,27.05.2025,28.05.2025,1,4.09,hotel phouthavong,8.18,,2
103,Vietnam,vinh,random,28.05.2025,29.05.2025,2,3.75,thanh dat 2 hotel,14.98,,2
104,Vietnam,dong hoi,random,29.05.2025,31.05.2025,2,4.81,nam long hotel,19.24,,2
105,Vietnam,hue,booking.com,31.05.2025,04.06.2025,3,3.92,hotel casablanka,23.52,,2
106,Vietnam,hoi an,booking.com,03.06.2025,06.06.2025,3,3.975,golden bee homestay,23.85,,2
107,Vietnam,quy nhon,trip.com,06.06.2025,07.06.2025,1,6,than than hotel,12,,2
108,Vietnam,phu thuong,workaway,07.06.2025,15.06.2025,7,0,mark and hai,0,,2
109,Vietnam,nha trang,trip.com,15.06.2025,16.06.2025,1,4.56,starlight,9.12,,2
110,Vietnam,da lat,booking.com,16.06.2025,18.06.2025,2,4.16,the lovely house,16.64,,2
111,Vietnam,ho chi minh,trip.com,18.06.2025,23.06.2025,5,4.732,phan hotel ho chi minh,47.32,,2
112,Vietnam,night flight,jetstar.com,23.06.2025,24.06.2025,1,0,night flight to melbourne,0,,2
113,Australia,Hobart,Airbnb,24.06.2025,27.06.2025,3,17.26,sunny and modern hobart stay,103.56,,2
114,Australia,weetah,workaway,27.06.2025,14.07.2025,17,0,andy & linda,0,,2
115,Australia,sorell,workaway,14.07.2025,02.08.2025,19,0,luna lodge tasmania,0,,2
116,Australia,hobart,booking.com,02.08.2025,05.08.2025,3,25.64,travelodge hotel hobart,153.84,,2
117,Australia,wilmot,workaway,05.08.2025,26.08.2025,21,0,peter & susie,0,,2
118,Australia,launceston,booking.com,26.08.2025,30.08.2025,4,28.01125,Coach House Launceston,224.09,,2
119,Australia,melbourne,booking.com,30.08.2025,03.09.2025,4,25.34875,miami hotel melbourne,202.79,,2
120,Australia,Melbourne,Flight,03.09.2025,04.09.2025,1,0,Night flight to auckland,0,,2
121,New Zealand,new plymouth,booking.com,04.09.2025,05.09.2025,1,20.115,ariki backpackers,40.23,,2
122,New Zealand,new plymouth,workaway,05.09.2025,27.9.2025,22,0,dee - www.korito.co.nz,0,,2
123,New Zealand,wellington,workaway,27.09.2025,16.10.2025,19,0,Rachael,0,,2
124,New Zealand,tararua,doc hut,16.10.2025,17.10.2025,1,4.915,mitre flats hut,9.83,,2
125,New Zealand,tararua,doc hut,17.10.2025,18.10.2025,1,4.915,tarn ridge hut,9.83,,2
126,New Zealand,tararua,doc hut,18.10.2025,19.10.2025,1,4.915,ta matawai hut,9.83,,2
127,New Zealand,wellington,workaway,19.10.2025,25.10.2025,6,0,"Rachael",0,,2
128,New Zealand,auckland,booking.com,25.10.2025,27.10.2025,2,18,choice backpackers,72,,2
129,New Zealand,goat island,workaway,27.10.2025,06.11.2025,10,0,craig,0,,2
130,New Zealand,auckland,workaway,06.11.2025,14.11.2025,8,0,monique,0,,2
131,New Zealand,malua bay,doc camping,14.11.2025,16.11.2025,2,4.93,malua campground,9.86,,2
132,New Zealand,auckland,workaway,14.11.2025,16.11.2025,2,0,monique,0,,2
133,New Zealand,auckland,workaway,16.11.2025,18.11.2025,2,0,monique,0,,2
134,New Zealand,auckland,booking.com,18.11.2025,19.11.2025,1,18.5,oceanic hostel,37,,2
135,French Polynesia,papeete,Airbnb,18.11.2025,24.11.2025,6,26.9575,tahiti holiday concierge,323.49,,2
136,French Polynesia,papeete to auckland,plane,24.11.2025,25.11.2025,1,0,night flight to san francisco,0,,2
137,USA,san francisco,booking.com,25.11.2025,28.11.2025,3,28.733333333333334,hotel north beach,172.4,,2
138,USA,san francisco to lisbon,plane,28.11.2025,29.11.2025,1,0,night flight to lisbon,0,,2
139,Spain,barcelona,Airbnb,29.11.2025,01.12.2025,2,22.605,room in center,90.42,,2
140,Slovakia,bratislava,home sweet home,01.12.2025,10.12.2025,9,0,home sweet home,0,,2
141,Czechia,ostrava,booking.com,10.12.2025,11.12.2025,1,17.915,hotel rada,35.83,,2
142,Sweden,tvallen,workaway,11.12.2025,26.12.2025,15,0,tvallen lake,0,,2
